Sample	Study	Site	Site latitude	Site longitude	Country	Year	ENA	All samples same individual	% callable	location_id	continent	date_of_collection	doc_accuracy	partner_sample_id	derivative_sample_id	original_sample_id	sampling_event_id	individual_id	mean_coverage	bases_no_coverage_percent	bases_low_coverage_percent	bases_excessive_coverage_percent	bases_poor_mapping_quality_percent	bases	bases_of_1X_coverage	bases_of_5X_coverage	bases_duplicated	mean_insert_size	sd_insert_size	avg_read_length	error_rate	average_quality	reads_mapped	reads_properly_paired	genome_50pc_callable	preferred_sample_individual	preferred_sample_sampling_event	in_pv_10	in_pv_20	in_pv_30	first_release	dna_prep	id_run	preQC_exclusion_reason	GADM	GADM_0	GADM_1	GADM_2	GADM_3	Species	public_exclusion_reason	median_distance_to_other_samples	internal_exclusion_reason	nearest_sample	nearest_sample_dist	nearest_sample_country	nearest_country	nearest_site	nearest_population	nearest_continent	Continent_mismatch	QC_pass	sub_population	analysis_sub_population	population	analysis_population	colouring_sub_population	in_analysis_set	subpopulation_colour	population_colour
Brazil24	X0001-PV-MULTI-HUPALO2016	Acrelândia	-10.0	-67.0	Brazil	2011	SRR1564651,SRR1568111	Brazil24	6.56	Acrelândia	Americas	2011-01-01 0:00:00	year	Brazil24	DS_X0001_Brazil24	OS_X0001_Brazil24	SE_X0001_Brazil24	IN_X0001_Brazil24	30.57	73.54	19.14	0.0	0.25	3086942093	8573795	2495999	849610081	193.9	128.7	100	0.01230617	24.7	26884853	25397493	False	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/BRA/acre/acrelandia.html	BRA	acre	acrelandia		Pv	Less_than_50pc_callable										None	False	Brazil: Acre	unassigned	SAM	unassigned	unassigned	False	#d3d3d3	#d3d3d3
Brazil25	X0001-PV-MULTI-HUPALO2016	Plácido de Castro	-10.2	-67.2	Brazil	2011	SRR1564606,SRR1568188	Brazil25	2.61	Plácido de Castro	Americas	2011-01-01 0:00:00	year	Brazil25	DS_X0001_Brazil25	OS_X0001_Brazil25	SE_X0001_Brazil25	IN_X0001_Brazil25	9.73	63.89	32.89	0.0	0.1	401120211	10806074	6286123	149325975	206.7	124.7	100	0.01767311	21.1	1959482	1688924	False	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/BRA/acre/placidodecastro.html	BRA	acre	placidodecastro		Pv	Less_than_50pc_callable										None	False	Brazil: Acre	unassigned	SAM	unassigned	unassigned	False	#d3d3d3	#d3d3d3
Brazil27	X0001-PV-MULTI-HUPALO2016	Plácido de Castro	-10.2	-67.2	Brazil	2011	SRR1564695,SRR1568215	Brazil27	4.32	Plácido de Castro	Americas	2011-01-01 0:00:00	year	Brazil27	DS_X0001_Brazil27	OS_X0001_Brazil27	SE_X0001_Brazil27	IN_X0001_Brazil27	42.16	71.78	23.03	0.0	0.35	6388553511	9457492	4817301	5374101627	205.6	134.8	100	0.01097074	24.4	58790179	54743959	False	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/BRA/acre/placidodecastro.html	BRA	acre	placidodecastro		Pv	Less_than_50pc_callable										None	False	Brazil: Acre	unassigned	SAM	unassigned	unassigned	False	#d3d3d3	#d3d3d3
Brazil29	X0001-PV-MULTI-HUPALO2016	Plácido de Castro	-10.2	-67.2	Brazil	2011	SRR1564608,SRR1568193	Brazil29	20.61	Plácido de Castro	Americas	2011-01-01 0:00:00	year	Brazil29	DS_X0001_Brazil29	OS_X0001_Brazil29	SE_X0001_Brazil29	IN_X0001_Brazil29	62.12	40.08	38.13	0.0	0.66	7016151437	18197420	13605140	5611095198	192.3	112.8	100	0.01069804	23.2	65672485	60700619	False	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/BRA/acre/placidodecastro.html	BRA	acre	placidodecastro		Pv	Less_than_50pc_callable										None	False	Brazil: Acre	unassigned	SAM	unassigned	unassigned	False	#d3d3d3	#d3d3d3
Brazil30	X0001-PV-MULTI-HUPALO2016	Acrelândia	-10.0	-67.0	Brazil	2011	SRR1564652,SRR1564653,SRR1564993	Brazil30	16.21	Acrelândia	Americas	2011-01-01 0:00:00	year	Brazil30	DS_X0001_Brazil30	OS_X0001_Brazil30	SE_X0001_Brazil30	IN_X0001_Brazil30	46.19	59.77	23.26	0.0	0.26	4393528648	12534125	5499518	693315510	194.8	146.0	99	0.01042513	24.0	39488696	37595012	False	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/BRA/acre/acrelandia.html	BRA	acre	acrelandia		Pv	Less_than_50pc_callable										None	False	Brazil: Acre	unassigned	SAM	unassigned	unassigned	False	#d3d3d3	#d3d3d3
Brazil31	X0001-PV-MULTI-HUPALO2016	Plácido de Castro	-10.2	-67.2	Brazil	2011	SRR1564633,SRR1568784	Brazil31	0.78	Plácido de Castro	Americas	2011-01-01 0:00:00	year	Brazil31	DS_X0001_Brazil31	OS_X0001_Brazil31	SE_X0001_Brazil31	IN_X0001_Brazil31	10.64	88.25	10.34	0.0	0.1	1043118005	3950495	841425	694967466	230.6	162.2	99	0.01162917	22.6	9060871	8303118	False	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/BRA/acre/placidodecastro.html	BRA	acre	placidodecastro		Pv	Less_than_50pc_callable										None	False	Brazil: Acre	unassigned	SAM	unassigned	unassigned	False	#d3d3d3	#d3d3d3
Brazil32	X0001-PV-MULTI-HUPALO2016	Plácido de Castro	-10.2	-67.2	Brazil	2011	SRR1564647,SRR1568192	Brazil32	66.54	Plácido de Castro	Americas	2011-01-01 0:00:00	year	Brazil32	DS_X0001_Brazil32	OS_X0001_Brazil32	SE_X0001_Brazil32	IN_X0001_Brazil32	88.58	20.28	11.85	0.0	0.82	7695250213	23284156	20389073	3256584208	171.4	98.8	98	0.008929727	24.3	73908315	65456453	True	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/BRA/acre/placidodecastro.html	BRA	acre	placidodecastro		Pv	Analysis_set	0.02185056358575821		VVX01799	0.012238509953022005	Brazil	Brazil	Manaus	SAM	Americas	None	True	Brazil: Acre	unassigned	SAM	SAM	SAM: other	True	#ddf2dc	#4daf4a
Brazil33	X0001-PV-MULTI-HUPALO2016	Acrelândia	-10.0	-67.0	Brazil	2011	SRR1564594,SRR1568212	Brazil33	2.9	Acrelândia	Americas	2011-01-01 0:00:00	year	Brazil33	DS_X0001_Brazil33	OS_X0001_Brazil33	SE_X0001_Brazil33	IN_X0001_Brazil33	23.04	77.61	18.88	0.0	0.09	2073829261	7101298	3056816	1371683121	212.4	130.9	98	0.01013172	23.2	16323980	14191070	False	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/BRA/acre/acrelandia.html	BRA	acre	acrelandia		Pv	Less_than_50pc_callable										None	False	Brazil: Acre	unassigned	SAM	unassigned	unassigned	False	#d3d3d3	#d3d3d3
Brazil34	X0001-PV-MULTI-HUPALO2016	Acrelândia	-10.0	-67.0	Brazil	2011	SRR1562969,SRR1568011	Brazil34	11.74	Acrelândia	Americas	2011-01-01 0:00:00	year	Brazil34	DS_X0001_Brazil34	OS_X0001_Brazil34	SE_X0001_Brazil34	IN_X0001_Brazil34	36.31	66.78	20.69	0.0	0.27	4118661342	10487772	4230444	1100045035	210.5	150.2	99	0.01088247	24.3	36817999	34191145	False	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/BRA/acre/acrelandia.html	BRA	acre	acrelandia		Pv	Less_than_50pc_callable										None	False	Brazil: Acre	unassigned	SAM	unassigned	unassigned	False	#d3d3d3	#d3d3d3
Brazil35	X0001-PV-MULTI-HUPALO2016	Acrelândia	-10.0	-67.0	Brazil	2011	SRR1564619,SRR1568194,SRR1568200,SRR1568220,SRR1568222	Brazil35	19.8	Acrelândia	Americas	2011-01-01 0:00:00	year	Brazil35	DS_X0001_Brazil35	OS_X0001_Brazil35	SE_X0001_Brazil35	IN_X0001_Brazil35	63.88	45.62	33.45	0.0	0.62	13584356253	16897729	10743020	10840161431	236.6	144.3	100	0.01070739	23.7	129147456	123763439	False	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/BRA/acre/acrelandia.html	BRA	acre	acrelandia		Pv	Less_than_50pc_callable										None	False	Brazil: Acre	unassigned	SAM	unassigned	unassigned	False	#d3d3d3	#d3d3d3
Brazil87	X0001-PV-MULTI-HUPALO2016	Plácido de Castro	-10.2	-67.2	Brazil	2011	SRR1562536,SRR1564576	Brazil87	0.48	Plácido de Castro	Americas	2011-01-01 0:00:00	year	Brazil87	DS_X0001_Brazil87	OS_X0001_Brazil87	SE_X0001_Brazil87	IN_X0001_Brazil87	3.48	80.0	18.95	0.0	0.05	2954349829	6164711	484143	245972875	91.9	30.9	100	0.009290039	21.9	2669839	1557544	False	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/BRA/acre/placidodecastro.html	BRA	acre	placidodecastro		Pv	Less_than_50pc_callable										None	False	Brazil: Acre	unassigned	SAM	unassigned	unassigned	False	#d3d3d3	#d3d3d3
Brazil_Belem	X0001-PV-MULTI-HUPALO2016	Belem	-1.27	-48.46	Brazil	1980	SRR575087	Brazil_Belem	85.71	Belem	Americas	1980-01-01 0:00:00	year	Brazil_Belem	DS_X0001_Brazil_Belem	OS_X0001_Brazil_Belem	SE_X0001_Brazil_Belem	IN_X0001_Brazil_Belem	469.43	7.49	3.39	0.0	2.89	16593004107	27100953	26332247	1384691200	226.8	49.5	97	0.01018976	25.6	161625455	152077530	True	True	True	False	False	True	3.0	DNA			https://gadm.org/maps/BRA/para/belem.html	BRA	para	belem		Pv	Analysis_set	0.02160225063562393		cambodia15	0.010822371579706669	Cambodia	Brazil	Manaus	SAM	Americas	None	True	Brazil: Para	unassigned	SAM	SAM	SAM: other	True	#ddf2dc	#4daf4a
Brazil_I	X0001-PV-MULTI-HUPALO2016	Brazil	-10.0	-67.0	Brazil	1994	SRR332567,SRR332568,SRR332569,SRR332570,SRR332571,SRR332572,SRR332573,SRR340133,SRR340134	Brazil_I	88.15	Brazil	Americas	1994-01-01 0:00:00	year	Brazil_I	DS_X0001_Brazil_I	OS_X0001_Brazil_I	SE_X0001_Brazil_I	IN_X0001_Brazil_I	470.81	1.59	2.45	0.0	7.29	101043145239	28974086	28874401	23769545717	1474.4	1767.1	98	0.01673267	20.5	416333072	246025203	True	True	True	False	False	False	4.0	Hybrid_selection			https://gadm.org/maps/BRA.html	BRA				Pv	Analysis_set	0.021728159859776497		VVX01815	0.012361375615000723	Brazil	Brazil	Manaus	SAM	Americas	None	True	Brazil	unassigned	SAM	SAM	SAM: other	True	#ddf2dc	#4daf4a
Colombia_30101099036	X0001-PV-MULTI-HUPALO2016	Buenaventura	3.88	-77.02	Colombia	2013	SRR1565123,SRR1573226	Colombia_30101099036	80.48	Buenaventura	Americas	2013-01-01 0:00:00	year	Colombia_30101099036	DS_X0001_Colombia_30101099036	OS_X0001_Colombia_30101099036	SE_X0001_Colombia_30101099036	IN_X0001_Colombia_30101099036	132.61	10.58	6.89	0.0	1.53	3773540814	26258491	24460968	810871733	225.8	85.5	100	0.01101945	24.6	35495433	34895216	True	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/COL/valledelcauca/buenaventura.html	COL	valledelcauca	buenaventura		Pv	Analysis_set	0.021618528291583058		Colombia_30101099040	0.010187054052948952	Colombia	Colombia	Tierralta	SAM	Americas	None	True	Colombia: Valle del Cauca	unassigned	SAM	SAM	SAM: other	True	#ddf2dc	#4daf4a
Colombia_30101099038	X0001-PV-MULTI-HUPALO2016	Buenaventura	3.88	-77.02	Colombia	2013	SRR1562524,SRR1565075	Colombia_30101099038	81.27	Buenaventura	Americas	2013-01-01 0:00:00	year	Colombia_30101099038	DS_X0001_Colombia_30101099038	OS_X0001_Colombia_30101099038	SE_X0001_Colombia_30101099038	IN_X0001_Colombia_30101099038	159.5	9.98	6.57	0.0	1.66	4623930971	26491564	24774268	954127204	218.2	80.0	100	0.01109281	24.6	43404872	42659331	True	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/COL/valledelcauca/buenaventura.html	COL	valledelcauca	buenaventura		Pv	Analysis_set	0.02173909172415733		VVX00990	0.01200646348297596	Colombia	Colombia	Tierralta	SAM	Americas	None	True	Colombia: Valle del Cauca	unassigned	SAM	SAM	SAM: other	True	#ddf2dc	#4daf4a
Colombia_30101099040	X0001-PV-MULTI-HUPALO2016	Buenaventura	3.88	-77.02	Colombia	2013	SRR1564988,SRR1568221	Colombia_30101099040	79.66	Buenaventura	Americas	2013-01-01 0:00:00	year	Colombia_30101099040	DS_X0001_Colombia_30101099040	OS_X0001_Colombia_30101099040	SE_X0001_Colombia_30101099040	IN_X0001_Colombia_30101099040	101.07	12.17	6.31	0.0	1.34	2867810602	25778550	24089580	580079966	220.3	81.7	100	0.01102413	24.6	26909679	26448832	True	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/COL/valledelcauca/buenaventura.html	COL	valledelcauca	buenaventura		Pv	Analysis_set	0.02155672945082188		Colombia_30111110020	0.008593156933784485	Colombia	Colombia	Choco	SAM	Americas	None	True	Colombia: Valle del Cauca	unassigned	SAM	SAM	SAM: other	True	#ddf2dc	#4daf4a
Colombia_30102100437	X0001-PV-MULTI-HUPALO2016	Tierralta	8.172777799999999	-76.059444	Colombia	2013	SRR1564962,SRR1568171	Colombia_30102100437	81.36	Tierralta	Americas	2013-01-01 0:00:00	year	Colombia_30102100437	DS_X0001_Colombia_30102100437	OS_X0001_Colombia_30102100437	SE_X0001_Colombia_30102100437	IN_X0001_Colombia_30102100437	132.8	9.38	7.17	0.0	1.58	3887725484	26676685	24768182	626309080	224.4	84.0	100	0.01093205	24.5	36592848	35994186	True	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/COL/cordoba/tierralta.html	COL	cordoba	tierralta		Pv	Analysis_set	0.021354218944907192		VVX00990	0.01149393804371357	Colombia	Colombia	Tierralta	SAM	Americas	None	True	Colombia: Cordoba	Colombia: Cordoba	SAM	SAM	SAM: Colombia, Cordoba	True	#4daf4a	#4daf4a
Colombia_30102100438-A	X0001-PV-MULTI-HUPALO2016	Tierralta	8.172777799999999	-76.059444	Colombia	2013	SRR1564963,SRR1568155	Colombia_30102100438-A,Colombia_30102100438-B	78.03	Tierralta	Americas	2013-01-01 0:00:00	year	Colombia_30102100438-A	DS_X0001_Colombia_30102100438-A	OS_X0001_Colombia_30102100438-A	SE_X0001_Colombia_30102100438-A	IN_X0001_Colombia_30102100438	130.97	13.54	7.11	0.0	0.81	3592353454	25377027	23219881	188143608	195.9	73.9	100	0.009529984	24.7	34899536	34067261	True	False	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/COL/cordoba/tierralta.html	COL	cordoba	tierralta		Pv	Lower_covered_duplicate										None	False	Colombia: Cordoba	unassigned	SAM	unassigned	unassigned	False	#d3d3d3	#d3d3d3
Colombia_30102100438-B	X0001-PV-MULTI-HUPALO2016	Tierralta	8.172777799999999	-76.059444	Colombia	2013	SRR1564939,SRR1568227	Colombia_30102100438-A,Colombia_30102100438-B	78.18	Tierralta	Americas	2013-01-01 0:00:00	year	Colombia_30102100438-B	DS_X0001_Colombia_30102100438-B	OS_X0001_Colombia_30102100438-B	SE_X0001_Colombia_30102100438-B	IN_X0001_Colombia_30102100438	140.04	13.67	6.73	0.0	0.91	3815194544	25414514	23464940	713582271	211.6	83.6	100	0.009941356	24.5	36681670	35581210	True	True	True	False	False	True	3.0	Hybrid_selection			https://gadm.org/maps/COL/cordoba/tierralta.html	COL	cordoba	tierralta		Pv	Analysis_set	0.021684931591153145		Colombia_30102100485	0.011227183975279331	Colombia	Colombia	Tierralta	SAM	Americas	None	True	Colombia: Cordoba	Colombia: Cordoba	SAM	SAM	SAM: Colombia, Cordoba	True	#4daf4a	#4daf4a
